제목,방송 기간,방송 시간,방송 횟수,장르,채널,방송 시작
동네변호사조들호,   2016년 3월 28일 ~ 2016년 5월 31일 ,"  월요일, 화요일 오후 10시 00분 ~ ",  20부작 ,,  KBS 2TV ,2016-03-28 00:00:00
호구의사랑,  2015년 2월 9일 ~ 2015년 3월 31일 ,"  월요일, 화요일 오후 11:00~ ",  16부작 ,, tvN ,2015-02-09 00:00:00
그들이사는세상,  2008년 10월 27일 ~ 2008년 12월 16일 ,"  월요일, 화요일 09:55 ~ 11:05 ",  16부작 ,  드라마 ,  한국방송공사 ,2008-10-27 00:00:00
밤이면밤마다,  2008년 6월 23일 ~ 2008년 8월 19일 ,"  월요일, 화요일 오후 9시 55분~ ",  17부작 ,,  문화방송 ,2008-06-23 00:00:00
로비스트,  2007년 10월 10일 ~ 2007년 12월 26일 ,"  수요일, 목요일 오후 9:55~ ",  24부작 ,,  SBS ,2007-10-10 00:00:00
은실이,  1998년 11월 9일 ~ 1999년 7월 6일 ,"  월요일, 화요일 밤 9시 55분 ",  70부작 ,"  시대극, 홈드라마 ",  SBS ,1998-11-09 00:00:00
공항가는길,  2016년 9월 21일 ~ 11월 10일 ,"  수요일, 목요일 오후 10:00~11:10 ",  16부작 ,  멜로 ,  KBS 2TV ,2016-09-21 00:00:00
러빙유,   2002년 7월 29일 ~ 2002년 9월 3일 ,   매주 월/화 밤 9시 50분 ,  총 12부작 ,,  한국방송공사 ,2002-07-29 00:00:00
남자가사랑할때,  2013년 4월 3일 ~ 2013년 6월 6일 ,"  수요일, 목요일 09:55 ~ ",  20부작 ,"  드라마, 멜로 ",  문화방송 ,2013-04-03 00:00:00
운빨로맨스,  2016년 5월 25일 ~ 2016년 7월 14일 ,"  수요일, 목요일 오후 10:00~ ",  16부작 ,  로맨틱 코미디 ,  문화방송 ,2016-05-25 00:00:00
미래의선택,  2013년 10월 14일 ~ 2013년 12월 3일 ,"  월요일, 화요일 오후 10:00~11:15 ",  16부작 ,,  KBS 2TV ,2013-10-14 00:00:00
후아유,  2013년 7월 29일 ~ 2013년 9월 17일 ,"  월요일, 화요일 오후 11:00~ ",  16부작 ,, tvN ,2013-07-29 00:00:00
마을-아치아라의비밀,  2015년 10월 7일 ~ 2015년 12월 3일 ,"  수요일, 목요일 오후 10:00~ ",  16부작 ,"  서스펜스 스릴러, 공포, 판타지 ",  SBS ,2015-10-07 00:00:00
황금정원,  2019년 7월 20일 ~ 2019년 10월 26일  ,  토요일 오후 9시 5분 ~ 11시 5분 ,  60부작 ,,  문화방송 ,2019-07-20 00:00:00
역도요정김복주,  2016년 11월 16일 ~ 2017년 1월 11일 ,"  수요일, 목요일 오후 10시 00분 ~ ",  16부작 ,"  학원물, 로맨틱 코미디, 성장 ",  문화방송 ,2016-11-16 00:00:00
뱀파이어탐정,  2016년 3월 27일 ~ 2016년 6월 12일  ,  매주 일요일 밤 11시 ,  12부작 ,  범죄 ,  OCN_LOGO.png ,2016-03-27 00:00:00
자백,  2019년 3월 23일 ~ 2019년 5월 12일 ,"  매주 토요일, 일요일 밤 9시 ",  16부작 ,,  tvN ,2019-03-23 00:00:00
스위치-세상을바꿔라,  2018년 3월 28일 ~ 2018년 5월 17일 ,"  수요일, 목요일 오후 10시 00분 ~ 11시 10분 ",  32부작 ,,  SBS ,2018-03-28 00:00:00
자체발광오피스,  2017년 3월 15일 ~ 2017년 5월 4일 ,"  수요일, 목요일 오후 10:00 ~ ",  16부작 ,"  오피스, 로맨틱 코미디 ",  문화방송 ,2017-03-15 00:00:00
위기일발풍년빌라,  2010년 3월 5일 ~ 2010년 5월 7일 ,  금요일 11:00 ~ 11:45 ,  20부작 ,"  드라마, 스릴러, 코미디 ",  tvN ,2010-03-05 00:00:00
마의,  2012년 10월 1일 ~ 2013년 3월 25일 ,"  월요일, 화요일 밤 9시 55분 ",  50부작 + 스페셜 1부작 ,"  퓨전사극, 의학 ",  문화방송 ,2012-10-01 00:00:00
꽃피는봄이오면,  2007년 1월 15일 ~ 2007년 3월 13일 ,"  월요일, 화요일 9:55~ ",  16부작 ,,  한국방송공사 ,2007-01-15 00:00:00
이번생은처음이라,  2017년 10월 9일 ~ 2017년 11월 28일 ,"  매주 월요일, 화요일  밤 9시 30분 ~ 10시 40분 ",  16부작 ,,  tvN ,2017-10-09 00:00:00
태양을삼켜라,  2009년 7월 8일 ~ 2009년 10월 1일 ,"  수요일, 목요일 밤 9시 55분 ~ 11시 5분 ",  25부작 ,  드라마 ,  서울방송 ,2009-07-08 00:00:00
서동요,  2005년 9월 5일 ~ 2006년 3월 27일 ,"  월요일, 화요일 오후 9:55~ ",  56부작 ,,  SBS ,2005-09-05 00:00:00
로맨스가필요해시즌3,  2014년 1월 13일 ~ 2014년 3월 4일 ,"  월요일, 화요일 오후 9:40 ~ ",  16부작 ,, tvN ,2014-01-13 00:00:00
그냥사랑하는사이,  2017년 12월 11일 ~ 2018년 1월 30일 ,"  월요일, 화요일 23시 00분 ~ 24시 20분 ",  16부작 ,,  JTBC ,2017-12-11 00:00:00
이별이떠났다,  2018년 5월 26일 ~ 2018년 8월 4일 ,  토요일]] 오후 8시 45분 ~ 11시 15분 ,  40부작 ,,  문화방송 ,2018-05-26 00:00:00
상류사회,  2015년 6월 8일 ~ 2015년 7월 28일 ,"  월요일, 화요일 오후 10:00~ ",  16부작 ,  청춘멜로 ,  SBS ,2015-06-08 00:00:00
달의연인-보보경심려,  2016년 8월 29일 ~ 2016년 11월 1일 ,"  월요일, 화요일 오후 10:00 ~ ",  20부작 ,, SBS ,2016-08-29 00:00:00
무정도시,  2013년 5월 27일 ~ 2013년 7월 30일 ,"  월요일, 화요일 밤 9시 50분 ~ ",  20부작 ,,  JTBC ,2013-05-27 00:00:00
내일도칸타빌레,  2014년 10월 13일 ~ 12월 2일 ,"  월요일, 화요일 오후 10:00~11:10 ",  16부작 ,,  KBS 2TV ,2014-10-13 00:00:00
신분을숨겨라,  2015년 6월 16일 ~ 2015년 8월 4일 ,"  월요일, 화요일 오후 11:00~ ",  16부작 ,, tvN ,2015-06-16 00:00:00
아름다운날들,  2001년 3월 14일 ~ 2001년 5월 31일 ,,  24부작 ,,,2001-03-14 00:00:00
비밀의문,  2014년 9월 22일 ~ 2014년 12월 9일 ,"  월요일, 화요일 오후 10:00~ ",  24부작 ,  퓨전사극 ,  SBS ,2014-09-22 00:00:00
꽃보다아름다워,  2004년 1월 1일 ~ 2004년 4월 14일 ,"  수요일, 목요일 밤 9시 55분 ",  30부작 ,,  한국방송공사 ,2004-01-01 00:00:00
오늘의탐정,  2018년 9월 5일 ~ 2018년 10월 31일 ,"  수요일, 목요일 오후 10:00 ~ 11:10 ",  32부작  ,"  미스터리, 멜로 ",  KBS 2TV ,2018-09-05 00:00:00
내사랑치유기,  2018년 10월 14일 ~ 2019년 3월 3일 ,,  80부작 ,,  문화방송 ,2018-10-14 00:00:00
고스트,  1999년 7월 12일 ~ 1999년 8월 31일 ,"  월요일, 화요일 밤 9시 55분 ",  16부작 ,,  SBS ,1999-07-12 00:00:00
주군의태양,  2013년 8월 7일 ~ 2013년 10월 3일 ,"  수요일, 목요일 오후 10:00 ~ 오후 11:15 ",  17부작 ,"  로맨틱 코미디, 호러 ",  SBS ,2013-08-07 00:00:00
태양의여자,  2008년 5월 28일 ~ 2008년 7월 31일 ,"  수요일, 목요일 9:55 ~ 11:05 ",  20부작 ,"  드라마, 통속극 ",  한국방송공사 ,2008-05-28 00:00:00
싸우자귀신아,  2016년 7월 11일 ~2016년 8월 30일 ,"  매주 월요일, 화요일 밤 11시",  16부작 ,,  tvN ,2016-07-11 00:00:00
도망자Plan.B,  2010년 9월 29일 ~ 2010년 12월 8일 ,"  수요일, 목요일 오후 10:00 ~ 11:10 ",  20부작 + 스페셜 1부작 ,,  KBS 2TV ,2010-09-29 00:00:00
장희빈,  2002년 11월 6일 ~ 2003년 10월 23일 ,"  수요일, 목요일 밤 9시 50분 ",  100부작 ,  한국 사극 ,  KBS 2TV ,2002-11-06 00:00:00
장사의신-객주2015,  2015년 9월 23일 ~ 2016년 2월 18일  ,"  수요일, 목요일 오후 10:00~ ",  41부작 ,  중편사극 ,  KBS 2TV ,2015-09-23 00:00:00
매드독,  2017년 10월 11일 ~ 2017년 11월 30일 ,"  매주 수요일, 목요일 오후 10:00~11:10 ",  16부작 ,"  범죄, 스릴러 ",  KBS 2TV ,2017-10-11 00:00:00
응답하라1994,  2013년 10월 18일 ~ 2013년 12월 28일 ,"  매주 금요일, 토요일 밤 8시 40분 ",  21부작 ,,  tvN ,2013-10-18 00:00:00
내일도승리,  2015년 11월 2일 ~ 2016년 4월 29일 ,  월요일 ~ 금요일 오전 7시 50분 ,  130부작 ,  막장 드라마 ,  문화방송 ,2015-11-02 00:00:00
미세스캅,  2015년 8월 3일 ~ 2015년 9월 29일 ,"  월요일, 화요일 오후 10:00~ ",  18부작 ,"  액션, 수사물, 범죄 ",  SBS ,2015-08-03 00:00:00
공주의남자,  2011년 7월 20일 ~ 2011년 10월 6일 ,"  수요일, 목요일 오후 9시 55분 ~ 11시 5분 ",  24부작 ,,  KBS 2TV ,2011-07-20 00:00:00
돌아온싱글,   2005년 6월 8일 ~ 2005년 7월 21일 ,"  수요일, 목요일 오후 9:55~ ",  14부작 ,,  SBS ,2005-06-08 00:00:00
봄밤,  2019년 5월 22일 ~ 2019년 7월 11일 ,"  수요일, 목요일 밤 8시 55분 ~ 10시 5분  ",  32부작 ,,,2019-05-22 00:00:00
세계의끝,  2013년 3월 16일 ~ 2013년 5월 5일 ,  매주 일요일 밤 9시 55분 ~ ,  12부작 ,,,2013-03-16 00:00:00
"60일,지정생존자",  2019년 7월 1일 ~ 2019년 8월 20일 ,"  월요일, 화요일 밤 9시 30분 ~ ",  16부작 ,,,2019-07-01 00:00:00
죽어도좋아,  2018년 11월 7일 ~ 2018년 12월 27일  ,"  수요일, 목요일 오후 10:00 ~ 11:10 ",  32부작 + 스페셜 1부작 ,  오피스 코미디 ,  KBS 2TV ,2018-11-07 00:00:00
사이코메트리그녀석,  2019년 3월 11일 ~ 2019년 4월 30일 ,"  매주 월요일, 화요일 오후 9:30 ",  16부작 + 스페셜 1부작 ,  초능력 로맨스릴러 ,  tvN ,2019-03-11 00:00:00
형수님은열아홉,   2004년 7월 28일 ~ 2004년 9월 23일 ,"  수요일, 목요일 오후 9:55~ ",  16부작 ,,  SBS ,2004-07-28 00:00:00
조선생존기,  2019년 6월 8일 ~ 2019년  8월 17일  ,"  매주 토요일, 일요일 밤 10시 50분 ",  16부작 ,"   판타지, 사극 ",   TV CHOSUN ,2019-06-08 00:00:00
디데이,  2015년 9월 18일 ~ 2015년 11월 21일 ,"  매주 금요일, 토요일 밤 8시 30분 ",  20부작 ,  자연재해 ,  JTBC ,2015-09-18 00:00:00
푸른바다의전설,  2016년 11월 16일 ~ 2017년 1월 25일 ,"  수요일, 목요일 오후 10:00~11:00 ",  20부작 ,"  판타지, 로맨스 ",  SBS ,2016-11-16 00:00:00
플레이어,  2018년 9월 29일 ~ 11월 11일 ,"  토요일, 일요일 10시 20분 ",  14부작 ,"  범죄, 액션, 스릴러 ",  OCN_LOGO.png ,2018-09-29 00:00:00
무림학교,  2016년 1월 11일 ~ 2016년 3월 8일 ,"  월요일, 화요일 오후 10시 ~ ",  16부작 ,"  학원물, 무협 막장 드라마 ",  KBS 2TV ,2016-01-11 00:00:00
혼,  2009년 8월 5일 ~ 9월 3일 ,"  수요일, 목요일 09:55 ~ 11:05 ",  10부작 ,"  드라마, 공포 ",,2009-08-05 00:00:00
여왕의교실,  2013년 6월 12일 ~ 2013년 8월 1일 ,"  매주 수요일, 목요일 밤 10시 ",  16부작 ,  학원물  ,  문화방송 ,2013-06-12 00:00:00
돌아와요순애씨,   2006년 7월 12일 ~ 2006년 8월 30일 ,"  수요일, 목요일 오후 9:55~ ",  16부작 ,,  SBS ,2006-07-12 00:00:00
홍콩익스프레스,   2005년 2월 16일 ~ 2005년 4월 7일 ,"  수요일, 목요일 오후 9:55~ ",  16부작 ,,  SBS ,2005-02-16 00:00:00
장미빛연인들,  2014년 10월 18일 ~ 2015년 4월 12일 ,"  토요일, 일요일 밤 8시 45분 ",  52부작 ,  막장 드라마 ,  문화방송 ,2014-10-18 00:00:00
아가씨를부탁해,  2009년 8월 19일 ~ 2009년 10월 8일 ,"  수요일, 목요일 오후 9:55 ~ ",  16부작 ,,  한국방송공사 ,2009-08-19 00:00:00
개인의취향,  2010년 3월 31일 ~ 2010년 5월 20일 ,"  매주 수요일, 목요일 밤 09:55 ~ 11:05 ",  16부작 ,"  드라마, 로맨스 ",  문화방송 ,2010-03-31 00:00:00
봄이오나봄,  2019년 1월 23일 ~ 2019년 3월 21일  ,"  수요일, 목요일 오후 10:00 ~ 11:10 ",  32부작 ,"  판타지, 코미디 ",  문화방송 ,2019-01-23 00:00:00
굿바이솔로,  2006년 3월 1일 ~ 2006년 4월 20일 ,"  수요일, 목요일 밤 9시 55분 ~ 11시 5분 ",  16부작 ,  드라마 ,  한국방송공사 ,2006-03-01 00:00:00
아이두아이두,  2012년 5월 30일 ~ 2012년 7월 19일 ,"  수요일, 목요일 오후 9:55~ ",  16부작 ,,  문화방송 ,2012-05-30 00:00:00
캐리어를끄는여자,  2016년 9월 26일 ~ 2016년 11월 15일 ,"  월요일, 화요일 밤 10시 ",  16부작 ,"  법정, 로맨스 ",  문화방송 ,2016-09-26 00:00:00
내여자친구는구미호,  2010년 8월 11일 ~ 2010년 9월 30일 ,"  수요일, 목요일 09:55 ~ 11:05 ",  16부작 ,"  드라마, 로맨틱 코미디 ",  SBS ,2010-08-11 00:00:00
매리는외박중,  2010년 11월 8일 ~ 2010년 12월 28일 ,"  월요일, 화요일 밤 09:55~11:05 ",  16부작 ,  드라마 ,  KBS ,2010-11-08 00:00:00
수상한장모,  2019년 5월 20일 ~ 2019년 11월 8일  ,  평일 오전 8시 35분 ~ 9시 10분(5월 20일 ~ 11월 8일),  123부작  ,,  SBS ,2019-05-20 00:00:00
인수대비, 2011년 12월 3일 ~ 2012년 6월 24일 ," 토요일, 일요일 밤 8시 50분 ", 60부작 , 한국 사극 , JTBC ,2011-12-03 00:00:00
타인은지옥이다,  2019년 8월 31일 ~ 2019년  10월 6일 ,"  토요일, 일요일 오후 10시 30분 ~  ",  10부작 ,"  공포, 스릴러 ",  OCN ,2019-08-31 00:00:00
아스달연대기,,"  매주 토요일, 일요일 밤 9시 ~ ",  18부작 ,"  판타지, 드라마 ",,unknown
에덴의동쪽,  2008년 8월 25일 ~ 2009년 3월 10일 ,"  월요일, 화요일 9:55 ~ ",  56부작 ,"  신파극, 시대극, 막장 드라마 ",  문화방송 ,2008-08-25 00:00:00
해신,  2004년 11월 24일 ~ 2005년 5월 26일 ,"  수요일, 목요일 9:55 ~ ",  51부작 ,"  드라마, 퓨전 사극 ",  한국방송공사 ,2004-11-24 00:00:00
제빵왕김탁구,  2010년 6월 9일 ~ 2010년 9월 16일 ,"  수요일, 목요일 밤 9시 55분 ~ 11시 5분 ",  30부작(+스페셜 1부작) ,  시대극 ,  한국방송공사 ,2010-06-09 00:00:00
태양의후예,,,  16부작 (본편) 3부작 (스페셜) ,"  휴먼, 액션, 멜로, 로맨스 ",  KBS 2TV ,unknown
빛나는로맨스, 2013년 12월 23일 ~ 2014년 6월 20일 , 월요일 ~ 금요일 오후 7시 15분 , 122부작 ," 가족, 로맨스, 막장 드라마 ", 문화방송 ,2013-12-23 00:00:00
구여친클럽, 2015년 5월 8일 ~ 2015년 6월 13일," 매주 금요일, 토요일 밤 8시 30분", 12부작,, tvN,2015-05-08 00:00:00
아빠셋엄마하나,   2008년 4월 2일 ~ 2008년 5월 22일 ,"  수요일, 목요일 오후 9:55~11:05 ",  16부작 ,  로맨틱 코미디 ,  KBS 2TV ,2008-04-02 00:00:00
이태원클라쓰,  ON AIR 2020년 1월 31일 ~ 2020년 3월 21일(예정) ,"  매주 금요일, 토요일 오후 10시 50분 ~ 12시 20분 ",  16부작(예정) ,,,unknown
아르곤, 2017년 9월 4일 ~  2017년 9월 26일 ," 매주 월요일, 화요일 밤 10시 50분 ", 8부작 ,, tvN ,2017-09-04 00:00:00
그녀가돌아왔다,  2005년 6월 27일 ~ 2005년 8월 16일 ,"  월요일, 화요일 오후 9:55 ~ ",  16부작 ,"  멜로, 드라마, 미스터리 ",  KBS 2TV ,2005-06-27 00:00:00
최고의이혼,  2018년 10월 8일 ~ 2018년 11월 27일 ,"  월요일, 화요일 오후 10:00 ~ 11:10 ",  32부작 ,  로맨틱 코미디 ,  KBS 2TV ,2018-10-08 00:00:00
이몽,  2019년 5월 4일 ~ 2019년 7월 13일 ,  토요일 밤 9시 5분 ~ 밤 11시 5분 ,  40부작 ,,  문화방송 ,2019-05-04 00:00:00
미씽나인,  2017년 1월 18일 ~ 2017년 3월 9일 ,"  매주 수요일, 목요일 오후 10:00~ ",  16부작(스페셜 1부작) ,  미스터리 ,  문화방송 ,2017-01-18 00:00:00
"쌈,마이웨이",  2017년 5월 22일 ~ 2017년 7월 11일 ,"  매주 월요일, 화요일 오후 10:00 ~ 11:10 ",  16부작 ,,  KBS 2TV ,2017-05-22 00:00:00
산부인과,  2010년 2월 3일 ~ 2010년 3월 25일 ,"  수요일, 목요일 밤 9:55 ~ 11:05 ",  16부작 ,,  SBS ,2010-02-03 00:00:00
화정,  2015년 4월 13일 ~ 2015년 9월 29일 ,"  매주 월요일, 화요일 밤 10시 ",  50부작 ,"  드라마, 사극 ",  문화방송 ,2015-04-13 00:00:00
발칙하게고고,  2015년 10월 5일 ~ 2015년 11월 10일 ,"  월요일, 화요일 오후 10:00~11:10 ",  12부작 ,  학원물 ,  KBS 2TV ,2015-10-05 00:00:00
그저바라보다가,  2009년 4월 29일 ~ 2009년 6월 18일 ,"  수요일, 목요일 오후 09시 55분 ~ 오후 11시 05분  ",  16부작 ,"  드라마, 로맨스 ",  KBS 2TV ,2009-04-29 00:00:00
닥터진,  2012년 5월 26일 ~ 2012년 8월 12일 ,"  매주 토요일, 일요일 밤 9시 50분 ",  22부작 ,,  문화방송 ,2012-05-26 00:00:00
해치,  2019년 2월 11일 ~ 2019년 4월 30일 ,"  월요일, 화요일 오후 10:00 ~ 11:10 ",  48부작 + 스페셜 2부작 ,  한국 사극 ,  SBS ,2019-02-11 00:00:00
전우치,  2012년 11월 21일 ~ 2013년 2월 7일 ,"  수요일, 목요일 9:55 ~ 11:05 ",  24부작 ,"  드라마, 액션, 판타지 시대극 ",  한국방송공사 ,2012-11-21 00:00:00
백희가돌아왔다,  2016년 6월 6일 ~ 2016년 6월 14일 ,"  월요일, 화요일 오후 10:00 ~ 11:10 ",  4부작 ,   코미디 ,  KBS 2TV ,2016-06-06 00:00:00
우리가결혼할수있을까,  2012년 10월 29일 ~ 2013년 1월 1일 ,"  월요일, 화요일 밤 11시~  ",  20부작 ,,  JTBC ,2012-10-29 00:00:00
폭풍의여자,  2014년 11월 3일 ~ 2015년 5월 15일 ,  월요일 ~ 금요일 오전 7시 50분 ,  140부작 ,  막장 드라마 ,  문화방송 ,2014-11-03 00:00:00
"90일,사랑할시간",  2006년 11월 15일 ~ 2007년 1월 4일 ,"  수요일, 목요일 9:55 ~ 11:05 ",  16부작 ,"  드라마, 멜로 ",  문화방송 ,2006-11-15 00:00:00
미스함무라비,  2018년 5월 21일 ~ 2018년 7월 16일 ,"  월요일, 화요일 오후 11시 ",  16부작 ,  법률 드라마 ,  JTBC ,2018-05-21 00:00:00
"괜찮아,아빠딸",   2010년 11월 22일 ~ 2011년 1월 18일 ,"  월요일, 화요일 오후 8:45~ ",  17부작 ,,  SBS ,2010-11-22 00:00:00
유혹,  2014년 7월 14일 ~ 2014년 9월 16일 ,"  월요일, 화요일 오후 10:00~ ",  20부작 ,"  멜로, 막장 드라마 ",  SBS ,2014-07-14 00:00:00
카인과아벨,  2009년 2월 18일 ~ 2009년 4월 23일 ,"  수요일, 목요일 09:55 ~ 11:05 ",  20부작 ,  드라마 ,  서울방송 ,2009-02-18 00:00:00
블러드,  2015년 2월 16일 ~ 2015년 4월 21일 ,"  월요일, 화요일 오후 10:00~11:10 ",  20부작 ,"  멜로, 의학 드라마 ",  KBS 2TV ,2015-02-16 00:00:00
함부로애틋하게,  2016년 7월 6일 ~ 2016년 9월 8일  ,"  수요일, 목요일 오후 10:00~11:10 ",  20부작 ,  멜로 ,  KBS 2TV ,2016-07-06 00:00:00
트랩,  2019년 2월 9일 ~ 3월 3일 ,"  매주 토,일 밤 10시 20분 ",   7부작 + 디렉터스 컷 1부 ,,  OCN_LOGO.png ,2019-02-09 00:00:00
제중원,   2010년 1월 4일 ~ 2010년 5월 4일 ,"  월요일, 화요일 오후 9:55~ ",  36부작 ,,  SBS ,2010-01-04 00:00:00
7급공무원,  2013년 1월 23일 ~ 2013년 3월 28일 ,"  수요일, 목요일 밤 09:55 ~ 11:05 ",  20부작 ,"  드라마, 첩보, 로맨스 ",  문화방송 ,2013-01-23 00:00:00
어비스,  2019년 5월 6일 ~ 2019년 6월 25일 ,"  매주 월요일, 화요일 오후 9:30~ ",  16부작 ,,,2019-05-06 00:00:00
라이브,  2018년 3월 10일 ~ 2018년 5월 6일 ,"  매주 토요일, 일요일 밤 9시 ",  18부작 ,  드라마 ,  tvN ,2018-03-10 00:00:00
아이템,  2019년 2월 11일 ~ 2019년 4월 2일 ,"  매주 월요일, 화요일 오후 10:00 ~ 11:10 ",  32부작 + 스페셜 1부작 ,,   문화방송 ,2019-02-11 00:00:00
설렘주의보,  2018년 10월 31일 ~ 2018년 12월 20일 ,"  수요일, 목요일 오후 11시 00분 ~ ",  16부작 ,,  MBN | Dramax ,2018-10-31 00:00:00
내게거짓말을해봐,  2011년 5월 9일 ~ 2011년 6월 28일 ,"  월요일, 화요일 오후 9:55~ ",  16부작 ,  로맨틱코미디 ,  SBS ,2011-05-09 00:00:00
냄새를보는소녀,  2015년 4월 1일 ~ 2015년 5월 21일 ,"  수요일, 목요일 오후 10:00~ ",  16부작 ,"  범죄, 로맨틱 코미디 ",  SBS ,2015-04-01 00:00:00
돌아온일지매,  2009년 1월 21일 ~ 2009년 4월 9일 ,"  수요일, 목요일 오후 9:55~ ",  24부작 ,,  문화방송 ,2009-01-21 00:00:00
야경꾼일지,  2014년 8월 4일 ~ 2014년 10월 21일 ,"  월요일, 화요일 밤 10시 ",  24부작 ,"  판타지, 퓨전사극, 막장 드라마 ",  문화방송 ,2014-08-04 00:00:00
당신참예쁘다,  2011년 4월 4일 ~ 2011년 10월 7일 ,  월요일 ~ 금요일 오전 7시 50분 ,  135부작 ,  드라마 ,  문화방송 ,2011-04-04 00:00:00
복면검사,  2015년 5월 20일 ~ 2015년 7월 9일  ,"  수요일, 목요일 오후 10:00~ ",  16부작 ,,  KBS 2TV ,2015-05-20 00:00:00
야왕,  2013년 1월 14일 ~ 2013년 4월 2일 ,"  월요일, 화요일 오후 10:00~ ",  24부작 ,"  범죄, 멜로 ",  SBS ,2013-01-14 00:00:00
착하지않은여자들,  2015년 2월 25일 ~ 2015년 5월 14일  ,"  수요일, 목요일 오후 10:00~ ",  24부작 ,,  KBS 2TV ,2015-02-25 00:00:00
러브스토리인하버드,  2004년 11월 22일 ~ 2005년 1월 11일 ,"  매주 월요일, 화요일 밤 9시 55분~11시 5분 ",  16부작 ,,  SBS ,2004-11-22 00:00:00
두번은없다,  ON AIR  2019년 11월 2일 ~ 2020년 3월 7일 ,  토요일 오후 9시 5분 ~ 11시 5분 ,  72부작 ,,  문화방송 ,unknown
내인생의스페셜,  2006년 2월 6일 ~ 2006년 2월 28일 ,"  매주 월요일, 화요일 밤 9시 55분 ",  8부작 ,,  문화방송 ,2006-02-06 00:00:00
쇼핑왕루이,  2016년 9월 21일 ~ 2016년 11월 10일 ,"  수요일, 목요일 오후 10:00~ ",  16부작 ,,  문화방송 ,2016-09-21 00:00:00
영광의재인,  2011년 10월 12일 ~ 2011년 12월 28일 ,"  수요일, 목요일 밤 09:55~11:05 ",  24부작 ,  막장 드라마 ,  한국방송공사 ,2011-10-12 00:00:00
"킬미,힐미",  2015년 1월 7일 ~ 2015년 3월 12일 ,"  매주 수요일, 목요일 밤 10시 ",  20부작 ,,  문화방송 ,2015-01-07 00:00:00
최강칠우,  2008년 6월 17일 ~ 2008년 8월 19일 ,"  월요일, 화요일 오후 09:55 ~ 11:05 ",  20부작 ,,  KBS 2TV ,2008-06-17 00:00:00
흉부외과-심장을훔친의사들,  2018년 9월 27일 ~ 2018년 11월 15일 ,"  수요일, 목요일 오후 10:00~11:10 ",  32부작 ,"  의학드라마, 스릴러, 휴먼 ",  SBS ,2018-09-27 00:00:00
왕의얼굴,  2014년 11월 19일 ~ 2015년 2월 5일  ,"  수요일, 목요일 오후 10:00~ ",  23부작 ,  퓨전사극 ,  KBS 2TV ,2014-11-19 00:00:00
쌉니다천리마마트,  2019년 9월 20일 ~ 2019년 12월 6일 (종영) ,  금요일 오후 11:00~ ,  12부작 ,  코미디 ,  tvN ,2019-09-20 00:00:00
국민여러분!,  2019년 4월 1일 ~ 2019년 5월 28일 ,"  월요일, 화요일 오후 10:00 ~ 11:10 ",  36부작 ,"  범죄, 코미디 ",  KBS 2TV ,2019-04-01 00:00:00
하자있는인간들,  2019년 11월 27일 ~ 2020년 1월 16일,"  수요일, 목요일 밤 8시 55분 ~ 10시 5분 ",  32부작 ,,  문화방송 ,2019-11-27 00:00:00
시를잊은그대에게,  2018년 3월 26일 ~ 2018년 5월 15일 ,"  매주 월요일, 화요일 밤 9시 30분 ",  16부작 ,,  tvN ,2018-03-26 00:00:00
맨홀-이상한나라의필,  2017년 8월 9일 ~ 2017년 9월 28일 ,"  매주 수요일, 목요일 오후 10:00~11:10 ",  16부작 ,  시트콤 로맨스 ,  KBS 2TV ,2017-08-09 00:00:00
앙큼한돌싱녀,  2014년 2월 27일 ~ 2014년 4월 24일 ,"  수요일, 목요일 오후 9:55~ ",  16부작 ,,  문화방송 ,2014-02-27 00:00:00
내겐너무사랑스러운그녀,  2014년 9월 17일 ~ 2014년 11월 6일 ,"  수요일, 목요일 오후 10:00~ ",  16화 ,  로맨틱 코미디 ,  SBS ,2014-09-17 00:00:00
미스트리스,  2018년 4월 28일 ~ 2018년 6월 3일 ,"  토, 일 10시 20분 ",  12부작 ,"  로맨스, 미스터리, 스릴러 ",  OCN_LOGO.png ,2018-04-28 00:00:00
황금무지개,  2013년 11월 2일 ~ 2014년 3월 30일 ,"  매주 토요일, 일요일 밤 9시 55분 ",  41부작 ,,  문화방송 ,2013-11-02 00:00:00
W,  2016년 7월 20일 ~ 2016년 9월 14일 ,"  수요일, 목요일 오후 10시 00분 ~ 11시 10분 ",  16부작 ,,  문화방송 ,2016-07-20 00:00:00
온에어,,,  21부작 ,  드라마 ,  SBS ,unknown
레벨업,  2019년 7월 10일 ~ 2019년 8월 15일,"  매주 수요일, 목요일 밤 11:00  ~ ",  12부작 ,  드라마 ,  MBN | Dramax ,2019-07-10 00:00:00
연애를기대해,  2013년 9월 11일 ~ 2013년 9월 12일 ,"  수요일, 목요일 오후 10:00 ~ ",  2부작 ,,  KBS 2TV ,2013-09-11 00:00:00
가시나무새,  2011년 3월 2일 ~2011년 5월 5일 ,"  수요일, 목요일 오후 9:55 ~ ",  20부작 ,,  KBS 2TV ,2011-03-02 00:00:00
2004인간시장,  2004년 3월 8일 ~ 2004년 5월 11일 ,"  매주 월요일, 화요일 밤 9시 55분~ ",  20부작 ,,  SBS ,2004-03-08 00:00:00
당신의하우스헬퍼,  2018년 7월 4일 ~ 2018년 8월 29일 ,"  수요일, 목요일 오후 10:00 ~ 11:10 ",  32부작 ,"  멜로, 휴먼 ",  KBS 2TV ,2018-07-04 00:00:00
